Registry name,Weight,Hunger,Saturation,Display name,Ore Dict keys,Mod name,Item ID
animania:raw_frog_legs,1.0,1,1,Raw Prime Frog Legs,"['ore:listAllfrograw', 'ore:listAllmeatraw']",Animania,4478
animania:raw_horse,1.0,1,1,Raw Horse,"['ore:foodMeats', 'ore:listAllmeatraw']",Animania,4480
animania:raw_peacock,1.0,1,1,Raw Peacock,['ore:listAllchickenraw'],Animania,4486
animania:raw_prime_bacon,2.0,1,1,Raw Prime Bacon,"['ore:foodMeats', 'ore:listAllporkraw']",Animania,4467
animania:raw_prime_beef,1.0,1,1,Raw Prime Beef,"['ore:foodMeats', 'ore:listAllbeefraw', 'ore:listAllmeatraw']",Animania,4461
animania:raw_prime_chevon,1.0,1,1,Raw Prime Chevon,"['ore:foodMeats', 'ore:listAllmeatraw']",Animania,4484
animania:raw_prime_chicken,1.0,1,1,Raw Prime Chicken,"['ore:foodMeats', 'ore:listAllchickenraw', 'ore:listAllmeatraw']",Animania,4469
animania:raw_prime_mutton,1.0,1,1,Raw Prime Mutton,"['ore:foodMeats', 'ore:listAllmeatraw', 'ore:listAllmuttonraw']",Animania,4474
animania:raw_prime_peacock,1.0,1,1,Raw Prime Peacock,['ore:listAllchickenraw'],Animania,4488
animania:raw_prime_pork,1.0,1,1,Raw Prime Pork,"['ore:foodMeats', 'ore:listAllmeatraw', 'ore:listAllporkraw']",Animania,4465
animania:raw_prime_rabbit,1.0,1,1,Raw Prime Rabbit,"['ore:foodMeats', 'ore:listAllmeatraw']",Animania,4476
animania:raw_prime_steak,2.0,1,1,Raw Prime Steak,"['ore:foodMeats', 'ore:listAllbeefraw', 'ore:listAllmeatraw']",Animania,4463
animania:sheep_cheese_wedge,1.0,3,0.9,Cheese Wedge (Sheep),['ore:foodCheese'],Animania,4494
animania:super_omelette,5.0,5,0.9,Super Omelette,['ore:'],Animania,4452
animania:truffle,1.0,2,0.7,Truffle,['ore:'],Animania,4457
animania:truffle_omelette,2.0,5,0.8,Truffle Omelette,['ore:'],Animania,4453
animania:truffle_soup,2.0,10,0.6,Truffle Soup,['ore:'],Animania,4458
betteranimalsplus:blubber,1.0,1,2,Blubber,['ore:'],Better Animals Plus,8446
betteranimalsplus:crab_meat_cooked,2.0,5,1.2,Cooked Crab Meat,"['ore:foodCrabcooked', 'ore:listAllfishcooked']",Better Animals Plus,8470
betteranimalsplus:crab_meat_raw,1.0,2,1,Raw Crab Meat,"['ore:foodCrabraw', 'ore:listAllfishraw']",Better Animals Plus,8469
betteranimalsplus:eel_meat_cooked,1.0,4,0.7,Cooked Eel Meat,['ore:'],Better Animals Plus,8480
betteranimalsplus:eel_meat_raw,1.0,1,0,Raw Eel Meat,['ore:'],Better Animals Plus,8479
betteranimalsplus:fried_egg,1.0,5,1.5,Baked Egg,['ore:'],Better Animals Plus,8481
betteranimalsplus:goatcheese,1.0,3,1,Goat Cheese,"['ore:foodCheese', 'ore:foodGoatCheese']",Better Animals Plus,8448
betteranimalsplus:pheasantcooked,2.0,7,1.2,Cooked Pheasant,['ore:listAllmeatcooked'],Better Animals Plus,8450
betteranimalsplus:pheasantraw,1.0,3,0,Raw Pheasant,['ore:listAllmeatraw'],Better Animals Plus,8449
betteranimalsplus:turkey_leg_cooked,2.0,4,1.2,Cooked Turkey Leg,['ore:listAllmeatcooked'],Better Animals Plus,8478
betteranimalsplus:turkey_leg_raw,1.0,2,0,Raw Turkey Leg,['ore:listAllmeatraw'],Better Animals Plus,8477
betteranimalsplus:venisoncooked,2.0,8,1.2,Cooked Venison,"['ore:foodVenisoncooked', 'ore:listAllmeatcooked', 'ore:listAllvenisoncooked']",Better Animals Plus,8443
betteranimalsplus:venisonraw,1.0,4,0,Raw Venison,"['ore:foodVenisonraw', 'ore:listAllmeatraw', 'ore:listAllvenisonraw']",Better Animals Plus,8442
betternether:black_apple,1.0,6,0.5,Black Apple,['ore:'],Better Nether,4604
betternether:stalagnate_bowl_apple,2.0,8,0.6,Black Apple,['ore:'],Better Nether,4609
betternether:stalagnate_bowl_mushroom,2.0,6,0.6,Mushroom Soup,['ore:'],Better Nether,4608
betternether:stalagnate_bowl_wart,2.0,4,0.6,Wart Soup,['ore:'],Better Nether,4607
betterwithmods:apple_pie,1.0,8,0.3,Apple Pie,['ore:'],Better With Mods,5192
betterwithmods:bat_wing,1.0,2,0.3,Bat Wing,"['ore:listAllmeatraw', 'ore:mulchNitrogen']",Better With Mods,5196
betterwithmods:beef_dinner,1.0,8,0.6,Steak Dinner,['ore:'],Better With Mods,5175
betterwithmods:beef_potatoes,1.0,7,0.5,Steak and Potatoes,['ore:'],Better With Mods,5176
betterwithmods:chicken_soup,1.0,8,0.6,Chicken Soup,['ore:'],Better With Mods,5177
betterwithmods:chocolate,1.0,2,0.2,Chocolate,['ore:foodChocolatebar'],Better With Mods,5178
betterwithmods:chowder,1.0,5,0.6,Chowder,['ore:'],Better With Mods,5179
betterwithmods:cooked_bat_wing,2.0,4,0.6,Cooked Bat Wing,['ore:listAllmeatcooked'],Better With Mods,5197
betterwithmods:cooked_egg,1.0,3,0.5,Cooked Egg,['ore:'],Better With Mods,5166
betterwithmods:cooked_kebab,1.0,8,0.4,Kebab,['ore:'],Better With Mods,5180
betterwithmods:cooked_mystery_meat,2.0,6,0.8,Cooked Mystery Meat,"['ore:foodStewMeat', 'ore:listAllmeatcooked']",Better With Mods,5195
betterwithmods:cooked_omelet,1.0,4,1,Cooked Mushroom Omelet,['ore:'],Better With Mods,5170
betterwithmods:cooked_scrambled_egg,1.0,5,0.5,Cooked Scrambled Eggs,['ore:'],Better With Mods,5168
betterwithmods:cooked_wolf_chop,2.0,8,0.3,Cooked Wolf Chop,['ore:listAllmeatcooked'],Better With Mods,5190
betterwithmods:creeper_oyster,1.0,2,0.6,Creeper Oyster,['ore:'],Better With Mods,5163
betterwithmods:donut,1.0,2,0.25,Donut,['ore:foodDonut'],Better With Mods,5148
betterwithmods:ham_and_eggs,1.0,6,1,Ham and Eggs,['ore:'],Better With Mods,5171
betterwithmods:hearty_stew,1.0,10,0.6,Hearty Stew,['ore:'],Better With Mods,5181
betterwithmods:kibble,1.0,3,0,Kibble,['ore:'],Better With Mods,5191
betterwithmods:mystery_meat,1.0,2,0.3,Mystery Meat,"['ore:listAllmeat', 'ore:listAllmeatraw', 'ore:mulchNitrogen']",Better With Mods,5194
betterwithmods:pork_dinner,1.0,8,0.6,Pork Dinner,['ore:'],Better With Mods,5183
betterwithmods:raw_egg,1.0,2,0.2,Raw Egg,['ore:listAllegg'],Better With Mods,5165
betterwithmods:raw_kebab,1.0,4,0.3,Uncooked Kebab,['ore:'],Better With Mods,5182
betterwithmods:raw_omelet,1.0,3,0.5,Raw Mushroom Omelet,['ore:'],Better With Mods,5169
betterwithmods:raw_scrambled_egg,1.0,4,0.3,Raw Scrambled Eggs,['ore:'],Better With Mods,5167
betterwithmods:tasty_sandwich,3.0,7,0.7,Foul Sandwich,['ore:'],Better With Mods,5172
betterwithmods:wolf_chop,1.0,3,0.3,Wolf Chop,"['ore:listAllmeatraw', 'ore:mulchNitrogen']",Better With Mods,5189
betterwithaddons:food_amanita_baked,1.0,3,0.2,Baked Mushroom,['ore:'],Better with Addons,5791
betterwithaddons:food_beetroot_baked,1.0,5,0.4,Baked Beetroot,['ore:'],Better with Addons,5793
betterwithaddons:food_beetroot_cooked,1.0,4,0.5,Cooked Beetroot,['ore:'],Better with Addons,5792
betterwithaddons:food_bowl_rice,1.0,9,0.6,Bowl of Rice,['ore:'],Better with Addons,5812
betterwithaddons:food_carrot_baked,2.0,4,0.5,Baked Carrot,['ore:cookedCarrot'],Better with Addons,5795
betterwithaddons:food_carrot_cooked,2.0,3,0.6,Cooked Carrot,['ore:cookedCarrot'],Better with Addons,5794
betterwithaddons:food_clownfish_cooked,2.0,6,0.5,Cooked Clownfish,['ore:listAllmeatcooked'],Better with Addons,5804
betterwithaddons:food_cooked_rice,1.0,2,0.3,Cooked Rice,['ore:'],Better with Addons,5811
betterwithaddons:food_egg_cooked,1.0,4,0.3,Cooked Egg,['ore:'],Better with Addons,5797
betterwithaddons:food_fugu_sac,1.0,2,0.1,Fugu Sac,['ore:'],Better with Addons,5808
betterwithaddons:food_ground_meat,1.0,1,0.1,Ground Meat,['ore:'],Better with Addons,5799
betterwithaddons:food_meatballs,1.0,3,0.6,Meatballs,['ore:'],Better with Addons,5798
betterwithaddons:food_mulberry,1.0,1,0.2,Mulberry,['ore:'],Better with Addons,5810
betterwithaddons:food_mushroom_baked,1.0,3,0.2,Baked Mushroom,['ore:'],Better with Addons,5790
betterwithaddons:food_pie_amanita,1.0,8,0.3,Mushroom Pie,['ore:'],Better with Addons,5801
betterwithaddons:food_pie_meat,1.0,9,0.5,Meat Pie,['ore:'],Better with Addons,5802
betterwithaddons:food_pie_melon,1.0,8,0.4,Melon Pie,['ore:'],Better with Addons,5803
betterwithaddons:food_pie_mushroom,1.0,8,0.3,Mushroom Pie,['ore:'],Better with Addons,5800
betterwithaddons:food_potato_cooked,2.0,4,0.7,Cooked Potato,['ore:cookedPotato'],Better with Addons,5796
betterwithaddons:food_pufferfish_baked,1.0,6,0.6,Cooked Pufferfish,['ore:'],Better with Addons,5805
betterwithaddons:food_pufferfish_cooked,1.0,4,0.5,Cooked Fugu,['ore:'],Better with Addons,5807
betterwithaddons:food_pufferfish_prepared,1.0,2,0.1,Fugu,['ore:'],Better with Addons,5806
betterwithaddons:food_sashimi,1.0,2,0.1,Sashimi,['ore:'],Better with Addons,5809
betterwithaddons:laxative,1.0,0,0,Laxative,['ore:'],Better with Addons,5813
betterwithaddons:rotten_food,1.0,1,0.1,Rotten Food,['ore:'],Better with Addons,5819
biomesoplenty:berries,1.0,1,0.1,Hawthorn Berry,['ore:'],Biomes O' Plenty,4268
biomesoplenty:filled_honeycomb,1.0,3,0.4,Filled Honeycomb,['ore:foodFilledhoneycomb'],Biomes O' Plenty,4273
biomesoplenty:peach,1.0,5,0.2,Peach,"['ore:cropPeach', 'ore:listAllfruit']",Biomes O' Plenty,4270
biomesoplenty:pear,1.0,5,0.3,Pear,"['ore:cropPear', 'ore:listAllfruit']",Biomes O' Plenty,4269
biomesoplenty:persimmon,1.0,5,0.2,Persimmon,"['ore:cropPersimmon', 'ore:listAllfruit']",Biomes O' Plenty,4271
biomesoplenty:ricebowl,1.0,2,0.6,Bowl of Rice,['ore:foodBowlofrice'],Biomes O' Plenty,4275
biomesoplenty:shroompowder,1.0,1,0.1,Shroom Powder,['ore:foodMushroompowder'],Biomes O' Plenty,4274
dungeontactics:bottled_milk,1.0,0,0.2,Bottled Milk,['ore:'],DungeonTactics,6227
dungeontactics:bread_slice,1.0,1,0.2,Slice of Bread,['ore:'],DungeonTactics,6242
dungeontactics:candy_skull,1.0,1,0,Candy Skull,['ore:'],DungeonTactics,6274
dungeontactics:cherry_bomb,1.0,1,0.2,Cherry Bomb,['ore:'],DungeonTactics,6092
dungeontactics:fire_water,1.0,0,0.2,Ever-Flowing Fire Water,['ore:'],DungeonTactics,6169
dungeontactics:fish_flying,1.0,3,0.4,Flying Fish,['ore:'],DungeonTactics,6230
dungeontactics:fish_flying_cooked,1.0,4,0.6,Cooked Flying Fish,['ore:'],DungeonTactics,6231
dungeontactics:fish_lava,1.0,3,0.4,Lava Fish,['ore:'],DungeonTactics,6232
dungeontactics:fish_lava_cooked,1.0,4,0.6,Cooked Lava Fish,['ore:'],DungeonTactics,6233
dungeontactics:fish_lung,1.0,3,0.4,Lung Fish,['ore:'],DungeonTactics,6236
dungeontactics:fish_lung_cooked,1.0,4,0.6,Cooked Lung Fish,['ore:'],DungeonTactics,6237
dungeontactics:fish_muscle,1.0,3,0.4,Muscle Fish,['ore:'],DungeonTactics,6234
dungeontactics:fish_muscle_cooked,1.0,4,0.6,Cooked Muscle Fish,['ore:'],DungeonTactics,6235
dungeontactics:fish_obsidian,1.0,3,0.4,Obsidian Fish,['ore:'],DungeonTactics,6238
dungeontactics:fish_obsidian_cooked,1.0,4,0.6,Cooked Obsidian Fish,['ore:'],DungeonTactics,6239
dungeontactics:fish_swift,1.0,3,0.4,Swift Fish,['ore:'],DungeonTactics,6228
dungeontactics:fish_swift_cooked,1.0,4,0.6,Cooked Swift Fish,['ore:'],DungeonTactics,6229
dungeontactics:fish_tunnel,1.0,3,0.4,Tunnel Shark,['ore:'],DungeonTactics,6240
dungeontactics:fish_tunnel_cooked,1.0,4,0.6,Cooked Tunnel Shark,['ore:'],DungeonTactics,6241
dungeontactics:glowcurrent,1.0,1,0.2,Glowcurrent,['ore:'],DungeonTactics,6094
dungeontactics:incindiberry,1.0,1,0.2,Incindiberry,['ore:'],DungeonTactics,6093
dungeontactics:jam,1.0,1,0.4,Jam,['ore:'],DungeonTactics,6245
dungeontactics:jam_on_toast,1.0,4,0.8,Jam on Toast,['ore:'],DungeonTactics,6246
dungeontactics:mince_pie,1.0,1,0,Mince Pie,['ore:'],DungeonTactics,6276
dungeontactics:ration_gold,1.0,9,1.4,Gold Ration,['ore:'],DungeonTactics,6249
dungeontactics:ration_iron,1.0,9,1.4,Iron Ration,['ore:'],DungeonTactics,6248
dungeontactics:ration_standard,1.0,4,0.4,Standard Ration,['ore:'],DungeonTactics,6247
dungeontactics:spidereye_soup,1.0,4,1.6,Spider Eye Soup,['ore:'],DungeonTactics,6250
dungeontactics:toast,1.0,7,0.8,Toast,['ore:'],DungeonTactics,6243
dungeontactics:toast_slice,1.0,3,0.4,Slice of Toast,['ore:'],DungeonTactics,6244
endreborn:food_chorus_soup,1.0,5,0.6,Chorus Soup,['ore:'],End: Reborn III,6434
endreborn:food_dragonite_berries,1.0,1,0.1,Dragonite Berries,['ore:'],End: Reborn III,6433
endreborn:food_ender_flesh,1.0,4,0.4,Ender Flesh,['ore:'],End: Reborn III,6432
mod_lavacow:canebeef,5.0,5,0.5,The Sandwich Horror,['ore:'],Fish's Undead Rising,6479
mod_lavacow:canepork,1.0,5,0.5,Cane Pork,"['ore:listAllmeatraw', 'ore:mulchNitrogen']",Fish's Undead Rising,6480
mod_lavacow:canerottenmeat,4.0,5,0.5,Cane Rotten Flesh,['ore:'],Fish's Undead Rising,6481
mod_lavacow:cheirolepis,1.0,6,0.8,Cheirolepis,"['ore:fish', 'ore:listAllfishraw']",Fish's Undead Rising,6488
mod_lavacow:cheirolepis_cooked,2.0,2,0.1,Cooked Cheirolepis,['ore:listAllfishcooked'],Fish's Undead Rising,6489
mod_lavacow:frozenthigh,1.0,10,1.2,Frozen Thigh,"['ore:listAllmeatraw', 'ore:mulchNitrogen']",Fish's Undead Rising,6495
mod_lavacow:green_bacon_and_eggs,6.0,10,1.2,Green Eggs and Bacon,['ore:'],Fish's Undead Rising,6506
mod_lavacow:meatball,2.0,2,0.6,Meat Ball,['ore:listAllmeatcooked'],Fish's Undead Rising,6491
mod_lavacow:mimic_claw,1.0,3,0.3,Mimicrab Claw,['ore:foodCrabraw'],Fish's Undead Rising,6511
mod_lavacow:mimic_claw_cooked,2.0,8,0.8,Baked Mimicrab Claw,['ore:foodCrabcooked'],Fish's Undead Rising,6512
mod_lavacow:mousse,1.0,3,0.1,Minced meat,"['ore:listAllmeatraw', 'ore:mulchNitrogen']",Fish's Undead Rising,6490
mod_lavacow:netherstew,1.0,6,0.6,Nether Stew,['ore:'],Fish's Undead Rising,6478
mod_lavacow:parasite_item,1.0,2,0.3,Parasite,['ore:'],Fish's Undead Rising,6484
mod_lavacow:parasite_item_cooked,1.0,6,0.6,Cooked Parasite,['ore:'],Fish's Undead Rising,6485
mod_lavacow:piranha,1.0,2,0.1,Piranha,"['ore:fish', 'ore:listAllfishraw']",Fish's Undead Rising,6486
mod_lavacow:piranha_cooked,2.0,6,0.8,Cooked Piranha,['ore:listAllfishcooked'],Fish's Undead Rising,6487
mod_lavacow:plagued_porkchop,1.0,3,0.3,Plagued Porkchop,['ore:'],Fish's Undead Rising,6505
mod_lavacow:ptera_wing,1.0,4,0.1,Ptera Wing,['ore:'],Fish's Undead Rising,6523
mod_lavacow:ptera_wing_cooked,1.0,8,0.8,Fried Ptera Wing,['ore:'],Fish's Undead Rising,6524
mod_lavacow:sausage_roll,1.0,8,0.8,Sausage Roll,['ore:'],Fish's Undead Rising,6529
mod_lavacow:shattered_ice,1.0,1,1.8,Shattered Ice,['ore:'],Fish's Undead Rising,6541
mod_lavacow:zombiepiranha_item,1.0,2,0.1,Frenzy,"['ore:fish', 'ore:listAllfishraw']",Fish's Undead Rising,6533
mod_lavacow:zombiepiranha_item_cooked,2.0,6,0.8,Cooked Frenzy,['ore:listAllfishcooked'],Fish's Undead Rising,6534
minecraftfuture:suspiciousstew,3.0,6,0.6,Suspicious Stew,['ore:'],Future MC,10233
iceandfire:ambrosia,5.0,5,0.6,Ambrosia,['ore:'],Ice and Fire,6699
iceandfire:fire_dragon_flesh,1.0,8,0.8,Fire Dragon Flesh,['ore:'],Ice and Fire,6676
iceandfire:ice_dragon_flesh,1.0,8,0.8,Ice Dragon Flesh,['ore:'],Ice and Fire,6677
iceandfire:pixie_dust,1.0,1,0.3,Pixie Dust,['ore:'],Ice and Fire,6696
minecraft:apple,1.0,4,0.3,Apple,"['ore:cropApple', 'ore:listAllfruit']",Minecraft,260
minecraft:baked_potato,4.0,5,0.6,Baked Potato,['ore:cookedPotato'],Minecraft,393
minecraft:beef,1.0,3,0.3,Raw Beef,"['ore:foodMeat', 'ore:listAllbeefraw', 'ore:listAllmeat', 'ore:listAllmeatraw', 'ore:meatBeef', 'ore:mulchNitrogen']",Minecraft,363
minecraft:beetroot,1.0,1,0.6,Beetroot,"['ore:cropBeet', 'ore:cropBeetroot', 'ore:foodVegetable', 'ore:listAllveggie']",Minecraft,434
minecraft:beetroot_soup,5.0,6,0.6,Beetroot Soup,['ore:'],Minecraft,436
minecraft:bread,1.0,5,0.6,Bread,"['ore:bread', 'ore:foodBread']",Minecraft,297
minecraft:carrot,1.0,3,0.6,Carrot,"['ore:cropCarrot', 'ore:foodVegetable', 'ore:listAllveggie']",Minecraft,391
minecraft:chicken,1.0,2,0.3,Raw Chicken,"['ore:foodMeat', 'ore:listAllchickenraw', 'ore:listAllmeat', 'ore:listAllmeatraw', 'ore:meatChicken', 'ore:mulchNitrogen']",Minecraft,365
minecraft:chorus_fruit,1.0,4,0.3,Chorus Fruit,['ore:listAllfruit'],Minecraft,432
minecraft:cooked_beef,2.0,8,0.8,Steak,"['ore:foodMeat', 'ore:foodStewMeat', 'ore:listAllbeefcooked', 'ore:listAllmeatcooked', 'ore:meatBeef']",Minecraft,364
minecraft:cooked_chicken,2.0,6,0.6,Cooked Chicken,"['ore:foodMeat', 'ore:listAllchickencooked', 'ore:listAllmeatcooked', 'ore:meatChicken']",Minecraft,366
minecraft:cooked_fish,2.0,5,0.6,Cooked Fish,"['ore:foodStewMeat', 'ore:listAllfishcooked', 'ore:listAllmeatcooked', 'ore:meatFish']",Minecraft,350
minecraft:cooked_mutton,2.0,6,0.8,Cooked Mutton,"['ore:foodMeat', 'ore:foodMuttoncooked', 'ore:foodStewMeat', 'ore:listAllmeatcooked', 'ore:listAllmuttoncooked', 'ore:meatMutton']",Minecraft,424
minecraft:cooked_porkchop,2.0,8,0.8,Cooked Porkchop,"['ore:foodMeat', 'ore:foodStewMeat', 'ore:listAllmeatcooked', 'ore:listAllporkcooked', 'ore:meatPork']",Minecraft,320
minecraft:cooked_rabbit,2.0,5,0.6,Cooked Rabbit,"['ore:foodMeat', 'ore:foodRabbitcooked', 'ore:listAllmeatcooked', 'ore:listAllrabbitcooked']",Minecraft,412
minecraft:cookie,3.0,2,0.1,Cookie,['ore:'],Minecraft,357
minecraft:fish,1.0,2,0.1,Raw Fish,"['ore:fish', 'ore:listAllfishfresh', 'ore:listAllfishraw', 'ore:mulchNitrogen']",Minecraft,349
minecraft:golden_apple,2.0,4,1.2,Golden Apple,['ore:'],Minecraft,322
minecraft:golden_carrot,2.0,6,1.2,Golden Carrot,['ore:'],Minecraft,396
minecraft:melon,1.0,2,0.3,Melon,['ore:'],Minecraft,360
minecraft:mushroom_stew,2.0,6,0.6,Mushroom Stew,['ore:'],Minecraft,282
minecraft:mutton,1.0,2,0.3,Raw Mutton,"['ore:foodMeat', 'ore:foodMuttonraw', 'ore:listAllmeat', 'ore:listAllmeatraw', 'ore:listAllmuttonraw', 'ore:meatMutton', 'ore:mulchNitrogen']",Minecraft,423
minecraft:poisonous_potato,1.0,2,0.3,Poisonous Potato,['ore:'],Minecraft,394
minecraft:porkchop,1.0,3,0.3,Raw Porkchop,"['ore:foodMeat', 'ore:listAllmeat', 'ore:listAllmeatraw', 'ore:listAllporkraw', 'ore:meatPork', 'ore:mulchNitrogen']",Minecraft,319
minecraft:potato,2.0,1,0.3,Potato,"['ore:cropPotato', 'ore:foodVegetable', 'ore:listAllveggie']",Minecraft,392
minecraft:pumpkin_pie,4.0,8,0.3,Pumpkin Pie,['ore:'],Minecraft,400
minecraft:rabbit,1.0,3,0.3,Raw Rabbit,"['ore:foodMeat', 'ore:foodRabbitraw', 'ore:listAllmeat', 'ore:listAllmeatraw', 'ore:listAllrabbitraw', 'ore:mulchNitrogen']",Minecraft,411
minecraft:rabbit_stew,6.0,10,0.6,Rabbit Stew,['ore:'],Minecraft,413
minecraft:rotten_flesh,1.0,4,0.1,Rotten Flesh,"['ore:meatRotten', 'ore:mulchNitrogen']",Minecraft,367
minecraft:spider_eye,1.0,2,0.8,Spider Eye,['ore:eyeball'],Minecraft,375
mowziesmobs:glowing_jelly,1.0,1,0.1,Luminous Jelly,['ore:'],Mowzie's Mobs,6976
netherex:congealed_magma_cream,1.0,1,0.3,Congealed Magma Cream,['ore:foodCongealedmagmacream'],NetherEx,7007
netherex:enoki_mushroom,1.0,3,0.7,Enoki Mushroom,"['ore:cropEnokimushroom', 'ore:listAllmushroom', 'ore:listAllveggie', 'ore:mushroomAny']",NetherEx,7008
netherex:ghast_meat_cooked,2.0,8,1,Ghast Cytoplasm Mound,"['ore:foodMeats', 'ore:listAllghastcooked', 'ore:listAllmeatcooked']",NetherEx,7006
netherex:ghast_meat_raw,1.0,4,0.5,Ghast Cytoplasm,"['ore:foodMeats', 'ore:listAllghastraw', 'ore:listAllmeatraw']",NetherEx,7005
harvestcraft:agaveitem,1.0,1,0.6,Agave,"['ore:cropAgave', 'ore:listAllfruit']",Pam's HarvestCraft,8851
harvestcraft:akutuqitem,5.0,5,1.2,Akutuq,['ore:foodAkutuq'],Pam's HarvestCraft,9751
harvestcraft:almondbutteritem,3.0,1,1.2,Almond Butter,"['ore:foodAlmondbutter', 'ore:listAllnutbutter']",Pam's HarvestCraft,9560
harvestcraft:almonditem,1.0,1,0.6,Almond,"['ore:cropAlmond', 'ore:listAllnut']",Pam's HarvestCraft,8973
harvestcraft:amaranthitem,1.0,1,0.6,Amaranth,"['ore:cropAmaranth', 'ore:listAllgrain']",Pam's HarvestCraft,8853
harvestcraft:anchovypepperonipizzaitem,11.0,13,1.2,Anchovy Pepperoni Pizza,['ore:foodAnchovypepperonipizza'],Pam's HarvestCraft,9948
harvestcraft:anchovyrawitem,1.0,1,0.6,Raw Anchovy,"['ore:fish', 'ore:foodAnchovyraw', 'ore:listAllfishfresh', 'ore:listAllfishraw']",Pam's HarvestCraft,10001
harvestcraft:applecideritem,3.0,2,1.2,Apple Cider,['ore:foodApplecider'],Pam's HarvestCraft,9526
harvestcraft:applefritteritem,5.0,6,1.2,Apple Fritter,['ore:foodApplefritter'],Pam's HarvestCraft,9632
